"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 10 19:09:36 AMT 2023","Sun Sep 10 19:09:38 AMT 2023","2515","","TestCases.HomePageTest","","TestCases.HomePageTest","verifyLogoExist","verifyLogoExist()",""
"passed","Sun Sep 10 19:33:16 AMT 2023","Sun Sep 10 19:33:17 AMT 2023","224","","TestCases.RegressionTestingTest","","TestCases.RegressionTestingTest","verifyFAQContainerContent","verifyFAQContainerContent()",""
"passed","Sun Sep 10 19:33:50 AMT 2023","Sun Sep 10 19:33:51 AMT 2023","406","","TestCases.ServicesTest","","TestCases.ServicesTest","verifyScrollDownButtonFunctionality","verifyScrollDownButtonFunctionality()",""
"passed","Sun Sep 10 19:09:57 AMT 2023","Sun Sep 10 19:09:59 AMT 2023","2631","","TestCases.HomePageTest","","TestCases.HomePageTest","verifyPhoneNumberAccessibility","verifyPhoneNumberAccessibility()",""
"broken","Thu Aug 31 11:29:59 AMT 2023","Thu Aug 31 11:29:59 AMT 2023","33","","TestCases.HomePage","","TestCases.HomePage","VerifyServicesBlockNavigation","VerifyServicesBlockNavigation(Condition)",""
"passed","Sun Sep 10 15:43:10 AMT 2023","Sun Sep 10 15:43:11 AMT 2023","1207","","TestCases.CareersTest","","TestCases.CareersTest","verifyApplyNowSectionValidation","verifyApplyNowSectionValidation()",""
"passed","Sun Sep 10 19:31:34 AMT 2023","Sun Sep 10 19:31:52 AMT 2023","17665","","TestCases.HomePageTest","","TestCases.HomePageTest","verifyLearnMoreButtonVisibilityAndNavigation","verifyLearnMoreButtonVisibilityAndNavigation()",""
"passed","Thu Aug 31 12:55:52 AMT 2023","Thu Aug 31 12:55:52 AMT 2023","111","","TestCases.HomePage","","TestCases.HomePage","VerifyHeadlineTextContent","VerifyHeadlineTextContent()",""
"passed","Sun Sep 10 19:33:51 AMT 2023","Sun Sep 10 19:33:51 AMT 2023","199","","TestCases.ServicesTest","","TestCases.ServicesTest","verifyMovableMenuNavigation","verifyMovableMenuNavigation()",""
"passed","Fri Sep 01 11:50:22 AMT 2023","Fri Sep 01 11:50:22 AMT 2023","141","","TestCases.HomePage","","TestCases.HomePage","verifyImageStylingAndLayout","verifyImageStylingAndLayout()",""
"passed","Sun Sep 10 19:09:46 AMT 2023","Sun Sep 10 19:09:49 AMT 2023","3032","","TestCases.HomePageTest","","TestCases.HomePageTest","verifyHeaderLength","verifyHeaderLength()",""
